year;object_level;object_name;okato;oktmo;subsidies_for_equalizing;subventions;other_transfers;indicator_unit
2020;регион;Владимирская область;17000000;17000000;6134292.2;29378957.5;6661567.4;тысяча рублей
2020;регион;Воронежская область;20000000;20000000;7974041.1;51667472.5;14243843.6;тысяча рублей
2020;регион;Москва;45000000;45000000;;70052798.0;6252130.2;тысяча рублей
2020;регион;Ивановская область;24000000;24000000;12917549.0;30549954.8;4843740.4;тысяча рублей
2020;регион;Калужская область;29000000;29000000;;23318079.0;3816186.2;тысяча рублей
2020;регион;Костромская область;34000000;34000000;3634205.4;18851860.8;6855127.0;тысяча рублей
2020;регион;Курская область;38000000;38000000;3664697.2;23000526.9;8874344.2;тысяча рублей
2020;регион;Липецкая область;42000000;42000000;949959.4;22198143.3;8962635.0;тысяча рублей
2020;регион;Московская область;46000000;46000000;;78057445.6;9323043.2;тысяча рублей
2020;регион;Орловская область;54000000;54000000;5987895.0;20668968.7;4734164.4;тысяча рублей
2020;регион;Рязанская область;61000000;61000000;4342834.0;26374863.0;6029509.0;тысяча рублей
2020;регион;Смоленская область;66000000;66000000;3474713.0;21551845.8;4603031.4;тысяча рублей
2020;регион;Тамбовская область;68000000;68000000;9522931.2;30779136.0;6904625.0;тысяча рублей
2020;регион;Тверская область;28000000;28000000;4720516.3;30122032.5;7413527.6;тысяча рублей
2020;регион;Тульская область;70000000;70000000;1220516.2;26235441.6;5812111.8;тысяча рублей
2020;регион;Ярославская область;78000000;78000000;703525.1;23136215.2;5203230.0;тысяча рублей
2020;федеральный округ;Южный федеральный округ;00000000;00000000;70907280.5;531221392.3;74211132.6;тысяча рублей
2020;регион;Астраханская область;12000000;12000000;2501199.8;22744315.8;4646035.2;тысяча рублей
2020;регион;Волгоградская область;18000000;18000000;9811006.5;55707205.5;12815811.4;тысяча рублей
2020;регион;Краснодарский край;03000000;03000000;10710526.5;87079671.2;21101468.6;тысяча рублей
2020;регион;Республика Адыгея;79000000;79000000;4504223.1;19912493.6;2693108.0;тысяча рублей
2020;регион;Республика Калмыкия;85000000;85000000;3733383.4;13566714.6;1826808.8;тысяча рублей
2020;регион;Ростовская область;60000000;60000000;14994005.3;71978419.9;20014831.4;тысяча рублей
2019;страна;Российская Федерация;00000000;00000000;1352220499.0;5005215997.6;801640506.5;тысяча рублей
2019;федеральный округ;Дальневосточный федеральный округ;00000000;00000000;305519794.7;598861819.8;83900109.9;тысяча рублей
2019;регион;Амурская область;10000000;10000000;7230944.2;31548623.6;5009302.5;тысяча рублей
2019;регион;Еврейская автономная область;99000000;99000000;3590554.4;10330080.6;1276751.7;тысяча рублей
2019;регион;Забайкальский край;76000000;76000000;24050828.6;53292704.5;13156206.8;тысяча рублей
2019;регион;Камчатский край;30000000;30000000;74779624.6;94152966.7;4880607.5;тысяча рублей
2019;регион;Магаданская область;44000000;44000000;9462772.0;16061475.4;1775016.4;тысяча рублей
2019;регион;Приморский край;05000000;05000000;17455299.6;69655057.2;10885882.2;тысяча рублей
2019;регион;Республика Бурятия;81000000;81000000;39759898.3;85684872.3;6671111.1;тысяча рублей
2019;регион;Республика Саха (Якутия);98000000;98000000;93836535.2;130746573.7;12869636.2;тысяча рублей
2019;регион;Сахалинская область;64000000;64000000;9291.2;10299176.4;1617200.5;тысяча рублей
2019;регион;Хабаровский край;08000000;08000000;12863725.0;61363119.5;8896830.8;тысяча рублей
2019;регион;Чукотский автономный округ;77000000;77000000;22480321.6;35727169.9;16861564.2;тысяча рублей
2019;федеральный округ;Приволжский федеральный округ;00000000;00000000;165621486.3;768839086.2;171540984.0;тысяча рублей
2019;регион;Кировская область;33000000;33000000;23021791.5;55165013.5;9700846.4;тысяча рублей
2019;регион;Нижегородская область;22000000;22000000;8547090.1;73548303.5;18349589.2;тысяча рублей
2019;регион;Оренбургская область;53000000;53000000;9148644.8;48685144.9;14197221.5;тысяча рублей
2019;регион;Пензенская область;56000000;56000000;14593401.9;42828610.2;17164745.0;тысяча рублей
2019;регион;Пермский край;57000000;57000000;4934237.6;50336041.0;11728617.6;тысяча рублей
2019;регион;Республика Башкортостан;80000000;80000000;31242609.5;110209433.5;19818459.4;тысяча рублей
2019;регион;Республика Марий Эл;88000000;88000000;13864296.9;32025164.7;7277302.6;тысяча рублей
2019;регион;Республика Мордовия;89000000;89000000;5669271.0;29525561.3;7451748.1;тысяча рублей
2019;регион;Республика Татарстан;92000000;92000000;;65817126.1;11526307.4;тысяча рублей
2019;регион;Самарская область;36000000;36000000;13098.0;63710353.3;11864251.5;тысяча рублей
2019;регион;Саратовская область;63000000;63000000;17952322.5;63476386.3;14639482.4;тысяча рублей
2019;регион;Удмуртская Республика;94000000;94000000;8021985.7;45587345.8;14294137.6;тысяча рублей
2019;регион;Ульяновская область;73000000;73000000;6383018.4;33814202.3;6507358.3;тысяча рублей
2019;регион;Чувашская Республика;97000000;97000000;22229718.4;54110399.8;7020917.0;тысяча рублей
2019;федеральный округ;Северо-Западный федеральный округ;00000000;00000000;58152448.0;337663942.4;82134719.2;тысяча рублей
2019;регион;Архангельская область;11000000;11000000;18122141.4;54038357.0;12450798.3;тысяча рублей
