Region,Year,male_pop1559,male_pop1549,ExcessByAge,TotalExcess_15_49,TotalExcess_15_59,ex_per100k_1549,ex_per100k_1559,Excessive Marriages,ex_nup_per100k
Курская область,2022,299203.0,232061.0,"[np.float64(-13.90545454545466), np.float64(53.6074224021595), np.float64(22.177560975610334), np.float64(83.81515050367028), np.float64(100.38473078000834), np.float64(65.26458176899794), np.float64(342.2457578996896), np.float64(133.4290246097433), np.float64(203.5064883833204)]",653.5897497846813,990.525262777745,281.64566634836586,331.05458928478157,549.0000000000001,236.5757279336037
Курская область,2023,293734.0,228148.0,"[np.float64(-15.000259740259736), np.float64(63.72601214574934), np.float64(28.215514729173833), np.float64(91.55830232765959), np.float64(114.62832493990436), np.float64(76.03788969699761), np.float64(406.3147043009517), np.float64(164.86875488182687), np.float64(235.77089638712573)]",765.4804884001767,1166.1201396691292,335.5192631099885,396.99869258210805,549.0000000000001,240.63327313848913
Ленинградская область,2022,627419.0,508463.0,"[np.float64(-11.704761904762336), np.float64(14.519323671497887), np.float64(82.42357048908946), np.float64(111.37125957969556), np.float64(-112.69371794875474), np.float64(60.41758148015242), np.float64(35.89154481854314), np.float64(70.07938876564538), np.float64(-3.0621777424021275)]",180.2248001854614,247.24201120870464,35.44501766804298,39.406204021348515,1522.6,299.45148417878977
Ленинградская область,2023,628372.0,508584.0,"[np.float64(-9.497619047619537), np.float64(18.966183574879324), np.float64(91.5092489389682), np.float64(126.06407082974727), np.float64(-117.22019041527847), np.float64(62.55785699581793), np.float64(34.38431003903759), np.float64(81.59469079231849), np.float64(-12.176467729364504)]",206.7638609155523,276.1820839785063,40.65481039819426,43.952003586809454,1522.6,299.38024003901023
Липецкая область,2022,322269.0,251794.0,"[np.float64(9.30000000000041), np.float64(13.224859943977378), np.float64(-1.1338707269742372), np.float64(48.37406594199763), np.float64(-110.68211867781793), np.float64(-74.28202099652856), np.float64(69.19059279774501), np.float64(-324.490402427964), np.float64(69.49581485792612)]",-46.00849171760029,-301.0030792876382,-18.27227484276841,-93.40118946831318,604.4000000000001,240.0374909648364
Липецкая область,2023,317426.0,248404.0,"[np.float64(11.552142857143508), np.float64(15.928641456582909), np.float64(-2.51365875503825), np.float64(54.51471328193327), np.float64(-116.61059338908808), np.float64(-85.4985640795042), np.float64(82.33898471336488), np.float64(-356.7020723516134), np.float64(91.7634282617903)]",-40.28833391460597,-305.2269780044291,-16.218874862967574,-96.15689263148863,604.4000000000001,243.313312184989
Магаданская область,2022,44183.0,34836.0,"[np.float64(-1.9285714285714448), np.float64(1.3657142857143754), np.float64(-65.14141414141477), np.float64(22.355497835498227), np.float64(12.12194331983892), np.float64(38.61428571428473), np.float64(62.89021195522764), np.float64(-98.80412075941422), np.float64(-18.795871080138966)]",70.27766754057768,-47.3223242989755,201.73862538918846,-107.10527646147953,172.8,496.03858077850504
Магаданская область,2023,43255.0,34073.0,"[np.float64(-2.257142857142867), np.float64(0.5928571428573832), np.float64(-74.67424242424386), np.float64(25.896450216450376), np.float64(16.063481781376993), np.float64(43.928571428570876), np.float64(69.5598952131445), np.float64(-108.23353874883196), np.float64(-22.448723867595817)]",79.1098705010134,-51.572392115414374,232.17759076398733,-119.22874145281325,172.8,507.1464209197899
Московская область,2022,2573001.0,2077650.0,"[np.float64(7.820607224142748), np.float64(16.456816638369475), np.float64(117.47544065775753), np.float64(225.89050480041465), np.float64(386.1214085460815), np.float64(52.763028018508294), np.float64(421.06070536946095), np.float64(-290.8270737357652), np.float64(-35.77614257135065)]",1227.5885112547353,900.9852949476194,59.08543360309655,35.01690418882929,7022.4,337.997256515775
Московская область,2023,2574610.0,2075337.0,"[np.float64(8.016925558761699), np.float64(24.072369482173684), np.float64(141.38573193814102), np.float64(256.2398333433132), np.float64(447.96930001378905), np.float64(99.94972913026481), np.float64(479.62286439407603), np.float64(-313.25200277716203), np.float64(-29.55920504769165)]",1457.2567538605194,1114.4455460356658,70.21783709636168,43.28599461804568,7022.4,338.3739604700345
Мурманская область,2022,208954.0,167982.0,"[np.float64(-18.017142857142517), np.float64(10.282983682983286), np.float64(30.71086691086657), np.float64(88.61232308077342), np.float64(19.535608682471548), np.float64(-124.18958704632968), np.float64(36.23043902438991), np.float64(-117.68808111491296), np.float64(112.7247621636294)]",43.16549147801254,38.20217252672899,25.69649812361595,18.282575364304577,429.20000000000005,255.50356585824673
Мурманская область,2023,206179.0,165829.0,"[np.float64(-19.59142857142797), np.float64(13.022144522144117), np.float64(33.802442002441694), np.float64(106.8577394348622), np.float64(24.525553878279197), np.float64(-135.56816821921927), np.float64(38.85743902439032), np.float64(-127.58479497277051), np.float64(123.77271157498603)]",61.90572207147028,58.0936386736858,37.33105914615072,28.176312172280305,429.20000000000005,258.8208335092173
Ненецкий АО,2022,12616.0,10380.0,"[np.float64(0.0), np.float64(14.0), np.float64(7.533333333333076), np.float64(0.06666666666660603), np.float64(-4.685714285714312), np.float64(-7.19999999999996), np.float64(-36.80000000000018), np.float64(-75.61904761904952), np.float64(-20.46060606060672)]",-27.085714285714772,-123.16536796537102,-260.94137076796505,-976.2632210317931,22.4,215.79961464354528
Ненецкий АО,2023,12531.0,10289.0,"[np.float64(0.0), np.float64(16.5), np.float64(8.316666666666606), np.float64(-0.5666666666668334), np.float64(-4.171428571428578), np.float64(-6.550000000000068), np.float64(-38.2800000000002), np.float64(-84.60952380952585), np.float64(-23.136363636363797)]",-24.751428571429074,-132.49731601731872,-240.56204268081515,-1057.3562845528586,22.4,217.70823209252598
Нижегородская область,2022,873455.0,692834.0,"[np.float64(9.094622073578421), np.float64(25.781234060761676), np.float64(-29.671248328391812), np.float64(135.80439421830704), np.float64(173.85756127171567), np.float64(123.09252985578189), np.float64(233.44127716358867), np.float64(96.12664280452395), np.float64(103.11758308771732)]",671.4003703153415,870.6445962075828,96.90638310408288,99.67824286398073,1329.6000000000001,191.90744103205097
Нижегородская область,2023,861454.0,683546.0,"[np.float64(7.850795986621847), np.float64(26.94225246041924), np.float64(-32.2793912436768), np.float64(141.77612444702322), np.float64(220.9643039681705), np.float64(135.12008981662734), np.float64(291.43747942641096), np.float64(116.75908237046951), np.float64(148.33833674636412)]",791.8116548615963,1056.90907397843,115.83882501859367,122.68897398798194,1329.6000000000001,194.5150728700044
Новгородская область,2022,160556.0,127324.0,"[np.float64(14.233333333333576), np.float64(-10.395421245421232), np.float64(28.97875175315562), np.float64(13.536037090827676), np.float64(-64.67850046451025), np.float64(0.977029669585221), np.float64(-9.812184553262341), np.float64(2.8606432981079593), np.float64(-49.264521463714345)]",-27.16095441629173,-73.56483258189812,-21.332156087062714,-45.818800033569666,603.8,474.22324149414095
Новгородская область,2023,158812.0,126220.0,"[np.float64(16.600000000000364), np.float64(-8.579120879121206), np.float64(33.884800140252764), np.float64(10.746794216397575), np.float64(-72.3752782656459), np.float64(-0.9095402998799784), np.float64(-12.484039566772537), np.float64(3.1369204949290292), np.float64(-48.585749746309716)]",-33.11638465476892,-78.56521390614961,-26.237034269346317,-49.470577730996155,603.8,478.3710980827127
Новосибирская область,2022,788526.0,637989.0,"[np.float64(-62.32971134342404), np.float64(3.8518752492285557), np.float64(-0.983161748010275), np.float64(150.52869808899436), np.float64(131.82357820575407), np.float64(144.25696740036813), np.float64(132.90422804455397), np.float64(-132.49294627381096), np.float64(-160.67869900626852)]",500.0524738974648,206.8808286173853,78.3794820753124,26.236399131719857,2717.8,425.99480555307383
Новосибирская область,2023,782961.0,633106.0,"[np.float64(-69.35882469964218), np.float64(9.26768946628306), np.float64(12.209362127636041), np.float64(188.82656641497698), np.float64(170.9074938595411), np.float64(168.5438337181222), np.float64(157.27684579123297), np.float64(-138.00461530212897), np.float64(-160.86485708830742)]",637.6729666781501,338.80349428771376,100.7213589317034,43.272077956336744,2717.8,429.2804048611133
Омская область,2022,517148.0,409892.0,"[np.float64(28.01841491841651), np.float64(38.75716550116522), np.float64(-5.109270010305664), np.float64(45.26501613210067), np.float64(93.06372694754782), np.float64(-58.5676659239258), np.float64(42.156103976024724), np.float64(-5.659497249457559), np.float64(-178.0219497451419)]",183.58349154102348,-0.09795545357599167,44.78825923438942,-0.018941473925451063,2292.4,559.2692709299035
Омская область,2023,508970.0,404415.0,"[np.float64(33.44522144522125), np.float64(45.55055011654986), np.float64(-3.695308337831875), np.float64(55.06800665196903), np.float64(112.69414510978731), np.float64(-54.17360902988628), np.float64(51.33055482018051), np.float64(-5.4679893604056815), np.float64(-192.25239682699726)]",240.2195607759898,42.49917458858687,59.39927074316972,8.350035284709682,2292.4,566.843465252278
Оренбургская область,2022,521698.0,411290.0,"[np.float64(5.293557495808841), np.float64(-2.9186686329540663), np.float64(14.319594844818255), np.float64(171.5211126473514), np.float64(39.111098950632936), np.float64(-52.90900933011574), np.float64(122.23238162856364), np.float64(77.33743303302356), np.float64(-8.19002901956037)]",296.6500676041053,365.7974716175685,72.12673967373514,70.11670959397361,704.0,171.1687617009896
Оренбургская область,2023,514126.0,407001.0,"[np.float64(4.987762025966987), np.float64(-1.9891933463360516), np.float64(11.558966668384926), np.float64(196.23791281910235), np.float64(62.11606940656134), np.float64(-49.135408234316515), np.float64(135.45360064640863), np.float64(104.76837827331167), np.float64(-7.132630443430344)]",359.22970998577165,456.865457815653,88.26261114487966,88.86254688843843,704.0,172.9725479789976
Орловская область,2022,197884.0,154041.0,"[np.float64(0.7800000000000864), np.float64(31.046218487394754), np.float64(47.21173807035916), np.float64(56.74441558441697), np.float64(64.8569918969929), np.float64(93.11124343813503), np.float64(20.39046469793425), np.float64(-9.2568010756371), np.float64(82.93549117995246)]",314.14107217523315,387.8197622795485,203.93341524349563,195.98338535684974,331.6,215.2673638836414
Орловская область,2023,194702.0,152068.0,"[np.float64(1.4599999999999795), np.float64(35.56617647058806), np.float64(52.99035179380121), np.float64(66.57051948051947), np.float64(81.70385281385586), np.float64(108.34829662423954), np.float64(25.240690189679526), np.float64(2.599417705581004), np.float64(99.73056660225495)]",371.87988737268364,474.2098716805196,244.54841740056003,243.55675426062373,331.6,218.06034142620405
Пензенская область,2022,355464.0,276458.0,"[np.float64(-13.203809523809582), np.float64(4.747575757575987), np.float64(60.887640465464074), np.float64(26.30780863511012), np.float64(56.12401335307209), np.float64(-33.03866536723285), np.float64(172.2277752264706), np.float64(-28.573944279979514), np.float64(287.3249981608378)]",274.05233854665045,532.8033924275087,99.12982751327523,149.8895506795368,586.8,212.25647295430045
