,Region,year,total,drafted,pmc,volunteers,prisoners,contract,slavic,non_slavic,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs,Excessive Marriages,ex_nup_per100k
125,Москва,2025,22,0,0,10,4,0,19,3,,,,,,,,,,,,,,,9116.600000000002,302.82415763889776
126,Московская область,2022,578,38,45,95,175,128,546,32,1066559.95,10487.7819,1.0640127708179226,0.983327932011698,8542300.0,0.7847184013673133,42.0,3.1,48004.7,43138.0,55109.0,5.5,92.14,93.07,7022.4,337.997256515775
127,Московская область,2023,1349,183,31,393,284,127,1251,98,1247540.94,5537.200599999999,0.4707829202777349,0.4438492094696307,8591700.0,0.7829416762689572,,,,,,,92.14,93.07,7022.4,337.997256515775
128,Московская область,2024,931,98,0,299,44,90,873,58,996021.28,1589.2083,0.1588799116703486,0.159555657284752,,,,,,,,,92.14,93.07,7022.4,337.997256515775
129,Московская область,2025,123,22,0,30,0,15,117,6,,,,,,,,,,,,,,,7022.4,337.997256515775
130,Мурманская область,2022,124,16,7,14,43,7,121,3,128921.92,2832.2503,0.2873391645713849,2.196872572173917,665200.0,0.930847865303668,34.9,4.8,48438.3,45567.0,62601.0,8.0,89.93,93.05,429.2000000000001,255.50356585824676
131,Мурманская область,2023,167,15,8,45,69,15,156,11,151464.6,2739.6666,0.2329314640570134,1.8087834385064232,658700.0,0.9304691058144828,,,,,,,89.93,93.05,429.2000000000001,255.50356585824676
132,Мурманская область,2024,138,3,0,45,4,35,132,6,94953.25,2037.4299,0.2036905310314118,2.145718972231072,,,,,,,,,89.93,93.05,429.2000000000001,255.50356585824676
133,Неизвестно,2022,105,0,0,15,62,1,91,14,,,,,,,,,,,,,,,,
134,Неизвестно,2023,342,11,15,0,199,29,291,51,,,,,,,,,,,,,,,,
135,Неизвестно,2024,102,0,6,15,0,17,90,12,,,,,,,,,,,,,,,,
136,Неизвестно,2025,3,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,
137,Ненецкий автономный округ,2022,23,0,0,15,8,0,22,1,,,,,,,,,,,,,,,,
138,Ненецкий автономный округ,2023,30,6,1,0,8,15,27,3,,,,,,,,,,,,,,,,
139,Ненецкий автономный округ,2024,16,0,1,0,0,0,15,1,,,,,,,,,,,,,,,,
140,Нижегородская область,2022,325,15,0,47,105,128,303,22,331518.76,4049.0558,0.4107872495855754,1.2213655118642457,3108900.0,0.7993824182186625,59.3,4.1,33308.3,35053.0,43220.0,8.0,95.21,95.52,1329.6,191.90744103205097
141,Нижегородская область,2023,550,89,24,86,183,69,515,35,396803.97,7320.183099999999,0.6223753527704455,1.8447857515135244,3081800.0,0.8000194691414109,,,,,,,95.21,95.52,1329.6,191.90744103205097
142,Нижегородская область,2024,784,53,5,265,36,99,744,40,287682.81,924.6358,0.0924397728298059,0.3214080813518194,,,,,,,,,95.21,95.52,1329.6,191.90744103205097
143,Нижегородская область,2025,68,0,0,29,0,8,65,3,,,,,,,,,,,,,,,1329.6,191.90744103205097
144,Новгородская область,2022,76,0,0,38,23,8,72,4,70828.2,2703.5098,0.2742781057671887,3.8169963376169376,581600.0,0.7303988995873453,53.7,3.1,27659.9,29024.0,33729.0,11.9,95.43,96.29,603.8,474.22324149414095
145,Новгородская область,2023,234,41,10,63,60,16,223,11,77528.09999999999,20410.081100000003,1.7353024167777855,26.326043202400168,575900.0,0.7312033339121375,,,,,,,95.43,96.29,603.8,474.22324149414095
146,Новгородская область,2024,202,23,5,54,0,34,199,3,49737.08,1339.3468,0.1339001950090269,2.692853701906103,,,,,,,,,95.43,96.29,603.8,474.22324149414095
147,Новгородская область,2025,30,0,0,8,0,0,29,1,,,,,,,,,,,,,,,603.8,474.22324149414095
148,Новосибирская область,2022,284,15,32,33,39,142,257,27,322561.52,12427.8544,1.26083817546451,3.852863292558889,2797500.0,0.7968185880250223,65.8,4.7,31971.1,32658.0,39845.0,11.3,94.15,94.63,2717.8,425.9948055530738
149,Новосибирская область,2023,726,147,40,140,219,61,658,68,325640.62,10673.196199999998,0.9074546578163022,3.2775997662699443,2794300.0,0.7972658626489639,,,,,,,94.15,94.63,2717.8,425.9948055530738
150,Новосибирская область,2024,975,69,0,369,39,106,869,106,257880.03,2645.9079,0.2645226641717625,1.0260227982756167,,,,,,,,,94.15,94.63,2717.8,425.9948055530738
151,Новосибирская область,2025,99,0,0,6,2,8,91,8,,,,,,,,,,,,,,,2717.8,425.9948055530738
152,Омская область,2022,231,7,8,23,35,111,190,41,159801.16999999998,11132.5727,1.1294284757064752,6.966515138781524,1851500.0,0.7352957061841751,49.0,5.3,27352.9,28006.0,34747.0,12.0,88.71,89.94,2292.4,559.2692709299035
153,Омская область,2023,635,170,25,94,140,81,517,118,171720.2,16530.2999,1.4054363246274209,9.62629900267994,1832100.0,0.7364226843512909,,,,,,,88.71,89.94,2292.4,559.2692709299035
154,Омская область,2024,588,38,2,229,39,112,486,102,130250.33,17663.6282,1.7659080236328235,13.561292474268583,,,,,,,,,88.71,89.94,2292.4,559.2692709299035
155,Омская область,2025,58,2,0,27,1,7,36,22,,,,,,,,,,,,,,,2292.4,559.2692709299035
156,Оренбургская область,2022,408,0,15,33,107,198,302,106,168069.18,8736.617199999999,0.8863525541609061,5.198226825406061,1855800.0,0.5974242914107124,65.8,3.5,23942.0,25403.0,30334.0,13.1,79.29,80.37,704.0,171.1687617009896
157,Оренбургская область,2023,832,174,29,183,219,73,620,212,176090.53,14788.78,1.2573691182047768,8.39839598415656,1841400.0,0.5985663082437276,,,,,,,79.29,80.37,704.0,171.1687617009896
158,Оренбургская область,2024,768,93,0,350,41,115,541,227,142833.95,11932.0386,1.1928966384175004,8.353783256711726,,,,,,,,,79.29,80.37,704.0,171.1687617009896
159,Оренбургская область,2025,63,0,0,23,0,7,50,13,,,,,,,,,,,,,,,704.0,171.1687617009896
