,year,Region,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs
103,2020,Кировская область,82180.07,6884.77,0.9851916760532717,8.377663830171961,1192500.0,0.7719916142557652,72.4,5.4,20280.6,19247.0,24292.0,14.0,92.78,93.14
104,2020,Костромская область,46991.520000000004,6855.127,0.9809498441760635,14.588008644964026,598000.0,0.7301003344481606,50.4,5.5,21600.3,20717.0,25786.0,12.5,96.11,96.71
105,2020,Краснодарский край,387083.87,21101.4686,3.019562195573634,5.451394448443434,5794100.0,0.5623306466923249,55.6,5.7,28395.3,33042.0,37352.0,10.4,92.34,92.98
106,2020,Красноярский край,337705.51,10709.6302,1.5325186646247784,3.1712927041077887,2872100.0,0.7892482852268375,53.5,6.0,25617.0,24110.0,32872.0,17.0,93.64,94.21
107,2020,Курганская область,60214.14,5243.8607999999995,0.7503820767494122,8.708686697177772,800000.0,0.6335000000000001,69.4,8.2,17922.5,16830.0,21865.0,19.3,93.4,93.88
108,2020,Курская область,83635.05,8874.3442,1.2698942791511743,10.610795593474267,1099600.0,0.6826118588577665,68.4,4.9,23927.4,22625.0,29791.0,9.9,95.93,96.62
109,2020,Ленинградская область,193286.68,2061.3022,0.2949666828768857,1.0664481380713873,1950900.0,0.6621559280332154,34.2,5.3,26963.7,26993.0,33235.0,8.7,93.73,94.89
110,2020,Липецкая область,85868.97,8962.635,1.282528450115794,10.437571336886888,1159700.0,0.6340432870569974,51.3,4.3,25519.4,26136.0,32534.0,8.4,96.68,97.14
111,2020,Магаданская область,53118.58,2238.9734,0.3203909435732337,4.215047540803989,138600.0,0.9646464646464646,41.8,5.6,54833.9,35757.0,70982.0,8.7,87.71,90.68
112,2020,Москва,2880723.72,6252.1302000000005,0.8946626583954551,0.21703331550309168,12946600.0,1.0,33.8,2.6,58251.2,52527.0,78106.0,6.0,90.21,90.97
113,2020,Московская область,805481.05,9323.0432,1.3341018735738532,1.157450345976482,8372900.0,0.7897980389112493,39.3,3.6,37190.6,37215.0,47301.0,6.8,92.14,93.07
114,2020,Мурманская область,108196.63,5725.757799999999,0.8193402137844974,5.291992735818111,692200.0,0.9300780121352209,37.9,7.7,38659.1,31847.0,46621.0,10.1,89.93,93.05
115,2020,Ненецкий АО,0.0,299.20640000000003,0.04281561398592337,inf,41600.0,0.7331730769230769,-77777777.0,8.8,61686.5,31145.0,84171.0,9.4,69.57,71.29
116,2020,Нижегородская область,250378.74,13566.857,1.941379971532101,5.418533937825552,3174200.0,0.7969252095016067,57.6,4.6,26368.1,26300.0,33814.0,9.4,95.21,95.52
117,2020,Новгородская область,48984.49,2912.8034,0.4168141657106437,5.946378945662188,592800.0,0.7246963562753037,55.7,5.8,22012.1,22809.0,26431.0,13.6,95.43,96.29
118,2020,Новосибирская область,232151.99,11822.0122,1.6916974733564412,5.092358760310433,2812200.0,0.7946447621079582,62.4,6.7,25046.3,23523.0,31606.0,13.8,94.15,94.63
